Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-02-10,2015,2,10,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,06,2015-06,205.88,207.12,204.68,206.81,96164200.0,184.76,0.010653140014521778,182.16785714285714,181.50518518518518
2015-02-11,2015,2,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,06,2015-06,206.61,207.45,205.83,206.93,91087800.0,184.87,0.0005805096906468243,182.22142857142856,181.62535714285715
2015-02-12,2015,2,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,06,2015-06,207.89,208.99,206.97,208.92,97545900.0,186.64,0.009616722714004045,182.4735714285714,181.79827586206898
2015-02-13,2015,2,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,06,2015-06,209.07,209.84,208.76,209.78,93670400.0,187.41,0.0041164617265201375,182.74999999999997,181.98533333333336
2015-02-17,2015,2,17,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,07,2015-07,209.4,210.32,209.1,210.11,76968200.0,187.71,0.0015732502994574293,183.22071428571425,182.17000000000002
2015-02-18,2015,2,18,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,07,2015-07,209.66,210.22,209.34,210.13,80652900.0,187.72,9.494746958083056e-05,183.85785714285709,182.34343750000002
2015-02-19,2015,2,19,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,07,2015-07,209.41,210.42,209.24,209.98,91462500.0,187.59,-0.00071350150824534,184.3678571428571,182.50242424242427
2015-02-20,2015,2,20,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,07,2015-07,209.48,211.33,208.73,211.24,140896400.0,188.72,0.006000278674132664,185.12071428571426,182.6852941176471
2015-02-23,2015,2,23,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,08,2015-08,210.94,211.21,210.48,211.21,74411100.0,188.69,-0.00014198279129762348,185.7135714285714,182.85685714285717
2015-02-24,2015,2,24,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,08,2015-08,211.12,212.05,210.76,211.81,72472300.0,189.23,0.002840867738320041,186.1585714285714,183.0338888888889
2015-02-25,2015,2,25,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,08,2015-08,211.66,212.24,211.22,211.63,73061700.0,189.06,-0.0008497653831484042,186.64142857142855,183.19675675675677
2015-02-26,2015,2,26,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,08,2015-08,211.52,211.71,210.65,211.38,72697900.0,188.84,-0.001181305209493777,186.97714285714284,183.34526315789475
2015-02-27,2015,2,27,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,08,2015-08,211.26,211.58,210.6,210.66,108076000.0,188.2,-0.0034062990999842446,187.3035714285714,183.46974358974362
2015-03-02,2015,3,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,09,2015-09,210.78,212.06,210.72,211.99,87491400.0,189.39,0.0063135761183206185,187.7735714285714,183.61775000000003
2015-03-03,2015,3,3,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,09,2015-09,211.47,212.05,210.08,211.12,110325800.0,188.61,-0.004104060964215006,188.0485714285714,183.73951219512196
