Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label
2017-04-03,2017,4,3,Monday,14,2017-14,72.08,72.53,71.78,71.83,8291300.0,66.32,-0.0034684174986902017,65.07214285714281,63.69840000000002,green
2017-04-04,2017,4,4,Tuesday,14,2017-14,71.74,72.06,71.53,72.01,5567300.0,66.48,0.002505966092897216,65.16642857142853,63.80620000000002,green
2017-04-05,2017,4,5,Wednesday,14,2017-14,71.64,72.31,71.56,71.65,6354500.0,66.15,-0.004999289094549718,65.24642857142852,63.89380000000002,green
2017-04-06,2017,4,6,Thursday,14,2017-14,71.7,72.1,71.38,71.43,5941100.0,65.95,-0.003070580210950191,65.34785714285711,63.98660000000002,green
2017-04-07,2017,4,7,Friday,14,2017-14,72.1,72.99,71.8,72.9,10768000.0,67.31,0.020579589428566525,65.54071428571424,64.10960000000001,green
2017-04-10,2017,4,10,Monday,15,2017-15,72.99,73.48,72.73,73.06,7495900.0,67.45,0.0021948684535524343,65.7485714285714,64.25500000000002,green
2017-04-11,2017,4,11,Tuesday,15,2017-15,73.0,73.45,72.93,73.43,5810500.0,67.8,0.005064185102107155,65.95857142857139,64.39340000000001,green
2017-04-12,2017,4,12,Wednesday,15,2017-15,73.55,73.83,73.25,73.44,6627300.0,67.8,0.0001362805953313284,66.19428571428567,64.52600000000002,green
2017-04-13,2017,4,13,Thursday,15,2017-15,73.37,73.66,73.15,73.15,5336400.0,67.54,-0.0039486732118196866,66.42785714285709,64.66280000000002,green
2017-04-17,2017,4,17,Monday,16,2017-16,73.16,73.58,73.15,73.49,5465400.0,67.85,0.004647773275693322,66.68071428571423,64.79720000000002,green
2017-04-18,2017,4,18,Tuesday,16,2017-16,73.54,74.1,73.48,73.89,6627900.0,68.22,0.005442950055091878,66.91642857142853,64.94260000000003,green
2017-04-19,2017,4,19,Wednesday,16,2017-16,74.1,74.38,73.86,74.07,5940600.0,68.39,0.0024361016781400124,67.13642857142852,65.09320000000001,green
2017-04-20,2017,4,20,Thursday,16,2017-16,74.14,75.11,74.11,74.8,7681300.0,69.06,0.009855717525510066,67.34785714285711,65.24820000000001,green
2017-04-21,2017,4,21,Friday,16,2017-16,74.74,75.11,74.6,74.94,5755700.0,69.19,0.0018714365098040364,67.53642857142853,65.38900000000001,green
2017-04-24,2017,4,24,Monday,17,2017-17,75.08,75.4,74.42,74.78,7812500.0,69.04,-0.002134899727748163,67.73071428571424,65.50360000000002,green
2017-04-25,2017,4,25,Tuesday,17,2017-17,74.97,75.17,74.86,75.05,5720400.0,69.29,0.0036104960644565134,67.93142857142853,65.64260000000002,green
2017-04-26,2017,4,26,Wednesday,17,2017-17,75.27,75.77,75.17,75.43,6948500.0,69.64,0.005063023817561518,68.18071428571423,65.79320000000001,green
2017-04-27,2017,4,27,Thursday,17,2017-17,75.54,75.7,75.02,75.44,6052200.0,69.65,0.0001328862891039062,68.44499999999995,65.92760000000001,green
2017-04-28,2017,4,28,Friday,17,2017-17,75.24,75.44,74.93,75.18,7330400.0,69.41,-0.0034466977708521584,68.59499999999996,66.0566,green
2017-05-01,2017,5,1,Monday,18,2017-18,75.09,75.72,75.09,75.23,6165900.0,69.46,0.0006652119643186793,68.73857142857139,66.1834,green
2017-05-02,2017,5,2,Tuesday,18,2017-18,75.3,75.71,75.25,75.52,7318400.0,69.73,0.0038548297521590062,68.87642857142853,66.30640000000001,green
2017-05-03,2017,5,3,Wednesday,18,2017-18,75.4,75.88,75.18,75.76,5523600.0,69.95,0.0031779195049610465,69.02999999999997,66.39560000000002,green
2017-05-04,2017,5,4,Thursday,18,2017-18,75.93,76.4,75.83,76.34,5500800.0,70.48,0.007655833999869799,69.23999999999998,66.49080000000002,green
2017-05-05,2017,5,5,Friday,18,2017-18,76.42,76.6,76.18,76.5,5597800.0,70.63,0.002095747778524615,69.43857142857141,66.59620000000001,green
2017-05-08,2017,5,8,Monday,19,2017-19,76.5,76.52,76.07,76.12,6512200.0,70.28,-0.004967058924940647,69.58571428571427,66.67480000000002,red
2017-05-09,2017,5,9,Tuesday,19,2017-19,76.44,77.05,76.33,76.72,8255300.0,70.83,0.007882228596787888,69.75999999999998,66.77640000000002,red
2017-05-10,2017,5,10,Wednesday,19,2017-19,76.33,76.78,76.19,76.7,7511900.0,71.29,0.006429622059633156,69.9192857142857,66.90200000000002,red
2017-05-11,2017,5,11,Thursday,19,2017-19,76.35,76.72,75.93,76.13,8349400.0,70.76,-0.007431578429158647,70.03142857142856,67.02580000000002,red
2017-05-12,2017,5,12,Friday,19,2017-19,75.95,76.25,75.37,75.71,5892900.0,70.37,-0.005517188583282873,70.12642857142858,67.13620000000002,red
2017-05-15,2017,5,15,Monday,20,2017-20,75.8,76.47,75.8,76.29,8843900.0,70.91,0.007660706291597873,70.24214285714287,67.27080000000002,green
2017-05-16,2017,5,16,Tuesday,20,2017-20,76.19,76.27,75.08,75.11,8371800.0,69.81,-0.015466930235750962,70.25428571428571,67.38600000000001,green
2017-05-17,2017,5,17,Wednesday,20,2017-20,75.11,75.73,74.96,75.12,10971000.0,69.82,0.00013333028786566278,70.26642857142858,67.50160000000001,green
2017-05-18,2017,5,18,Thursday,20,2017-20,76.89,77.66,76.13,77.54,19166800.0,72.07,0.03221507810419544,70.45642857142859,67.65420000000002,green
2017-05-19,2017,5,19,Friday,20,2017-20,77.97,79.44,77.77,78.77,18581700.0,73.21,0.015862602729995512,70.72428571428574,67.82840000000002,green
2017-05-22,2017,5,22,Monday,21,2017-21,78.65,79.0,78.3,78.55,8897600.0,73.01,-0.002792805607703564,70.95857142857143,67.99420000000003,red
2017-05-23,2017,5,23,Tuesday,21,2017-21,78.58,78.97,78.44,78.49,7584900.0,72.95,-0.0007640069242372817,71.17285714285715,68.16160000000002,red
2017-05-24,2017,5,24,Wednesday,21,2017-21,78.56,78.61,78.14,78.15,7427000.0,72.64,-0.004331741542070722,71.32714285714287,68.30860000000003,red
2017-05-25,2017,5,25,Thursday,21,2017-21,78.36,78.85,78.15,78.31,6135000.0,72.78,0.0020473598490171607,71.4807142857143,68.46100000000003,red
2017-05-26,2017,5,26,Friday,21,2017-21,78.37,78.54,77.79,78.13,6125800.0,72.62,-0.0022985214117415827,71.64785714285716,68.61280000000002,red
2017-05-30,2017,5,30,Tuesday,22,2017-22,78.0,78.4,77.93,78.15,5410400.0,72.64,0.0002559329480891215,71.77714285714288,68.77500000000002,green
2017-05-31,2017,5,31,Wednesday,22,2017-22,78.35,78.92,78.22,78.6,8201700.0,73.05,0.005758173316384729,71.90285714285717,68.94380000000002,green
2017-06-01,2017,6,1,Thursday,22,2017-22,78.64,79.81,78.6,79.81,8153100.0,74.18,0.015394384031957031,72.14714285714288,69.13660000000002,green
2017-06-02,2017,6,2,Friday,22,2017-22,79.8,79.93,79.22,79.62,7996500.0,74.0,-0.002380697211970761,72.40642857142859,69.31940000000002,green
2017-06-05,2017,6,5,Monday,23,2017-23,79.6,80.47,79.48,80.26,10145700.0,74.6,0.008038343710871532,72.67000000000003,69.52140000000001,red
2017-06-06,2017,6,6,Tuesday,23,2017-23,79.43,79.56,78.26,78.93,11525900.0,73.36,-0.01657123769790636,72.92357142857145,69.70320000000001,red
2017-06-07,2017,6,7,Wednesday,23,2017-23,79.08,79.5,78.73,79.15,8511200.0,73.57,0.002787248232737349,73.19142857142859,69.88840000000002,red
2017-06-08,2017,6,8,Thursday,23,2017-23,79.15,80.13,78.23,78.93,10933000.0,73.36,-0.0027795010732829533,73.28357142857145,70.05720000000002,red
2017-06-09,2017,6,9,Friday,23,2017-23,79.03,79.56,78.72,79.42,9405100.0,73.82,0.006208051789299729,73.32714285714289,70.22740000000003,red
2017-06-12,2017,6,12,Monday,24,2017-24,79.4,80.37,78.84,79.24,10410600.0,73.65,-0.002266396465794074,73.37285714285717,70.37840000000003,red
2017-06-13,2017,6,13,Tuesday,24,2017-24,79.21,79.57,78.89,79.52,5528000.0,73.91,0.003533490936766581,73.44142857142859,70.52560000000003,red
2017-06-14,2017,6,14,Wednesday,24,2017-24,79.52,80.04,79.26,79.9,5006500.0,74.26,0.004778552215943589,73.55714285714289,70.68440000000002,red
2017-06-15,2017,6,15,Thursday,24,2017-24,79.18,79.3,77.76,78.91,11297200.0,73.34,-0.012390297876100131,73.59714285714288,70.82160000000003,red
2017-06-16,2017,6,16,Friday,24,2017-24,73.95,75.5,73.29,75.24,56233000.0,69.93,-0.04650904423434543,73.40500000000004,70.89720000000003,red
2017-06-19,2017,6,19,Monday,25,2017-25,75.38,76.01,74.52,75.5,16095100.0,70.17,0.003456016953008012,73.22857142857147,70.98160000000003,red
2017-06-20,2017,6,20,Tuesday,25,2017-25,75.88,75.92,75.32,75.54,10019200.0,70.21,0.0005298051549944559,73.02571428571433,71.03960000000002,red
